artists,album_name,track_name,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,
AP Dhillon;Gminxr;Gurinder Gill;Shinda Kahlon,Brown Munde,Brown Munde,254400,FALSE,0.854,0.611,0,-6.26,0,0.0864,0.223,0,0.119,0.417,100.024,4,hip-hop,
Kygo;Whitney Houston,Higher Love,Higher Love,228267,FALSE,0.693,0.678,0,-7.159,1,0.0324,0.0151,5.71E-06,0.101,0.404,103.952,4,edm,
Two Feet,Love Is a Bitch,Love Is a Bitch,181466,TRUE,0.532,0.178,0,-9.754,0,0.0541,0.614,0.14,0.0985,0.103,149.879,3,indie-pop,
XXXTENTACION,17,Everybody Dies In Their Nightmares,95466,TRUE,0.734,0.57,0,-7.066,0,0.133,0.847,2.14E-05,0.112,0.689,129.953,4,hip-hop,
Neon Trees,Picture Show,Everybody Talks,177280,FALSE,0.471,0.924,0,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,4,alternative,
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,You Get Me So High,153000,FALSE,0.551,0.881,0,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,4,rock,
Lauv,I met you when I was 18. (the playlist),I Like Me Better,197436,FALSE,0.752,0.505,0,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,91.97,4,pop,
Drake;Travis Scott,Certified Lover Boy,Fair Trade (with Travis Scott),291175,TRUE,0.666,0.465,0,-8.545,1,0.26,0.0503,0,0.215,0.292,167.937,4,hip-hop,
Phoebe Bridgers,Stranger in the Alps,Motion Sickness,229760,FALSE,0.651,0.546,0,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,4,indie,
Dhanush;Anirudh Ravichander,"Mayakkama Kalakkama (From ""Thiruchitrambalam"")","Mayakkama Kalakkama (From ""Thiruchitrambalam"")",142258,FALSE,0.789,0.536,0,-5.422,0,0.0424,0.604,2.09E-06,0.088,0.877,124.029,4,pop-film,
Becky Hill;David Guetta,Remember,Remember,160766,FALSE,0.612,0.862,0,-2.903,1,0.037,0.041,0,0.0907,0.354,123.849,4,house,
Radiohead,Pablo Honey,Creep,238640,TRUE,0.515,0.43,0,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4,rock,
Yasser Desai;Neha Kakkar;Rajat Nagpal,"Dil Ko Karaar Aaya (From ""Sukoon"")","Dil Ko Karaar Aaya (From ""Sukoon"")",231486,FALSE,0.55,0.448,0,-9.117,1,0.0366,0.777,0.000459,0.111,0.388,147.986,4,pop,
Suki Waterhouse,Good Looking,Good Looking,214800,FALSE,0.377,0.558,0,-9.076,1,0.0299,0.0789,0.000342,0.125,0.267,149.971,3,indie-pop,
MEDUZA;Hozier,Tell It To My Heart,Tell It To My Heart,165524,FALSE,0.539,0.715,0,-6.639,0,0.0595,0.0265,0,0.609,0.489,123.854,4,electro,
Bad Bunny;Jhayco,DÁKITI,DÁKITI,205090,TRUE,0.731,0.573,0,-10.059,0,0.0544,0.401,5.22E-05,0.113,0.145,109.928,4,reggae,
Justin Quiles;Robin Schulz,AEIOU,AEIOU,161880,FALSE,0.689,0.856,0,-3.394,0,0.0813,0.0493,0,0.232,0.706,126.108,4,reggaeton,
Marshmello;Demi Lovato,OK Not To Be OK,OK Not To Be OK,159862,FALSE,0.743,0.837,0,-5.025,0,0.0649,0.0172,0,0.0743,0.263,103.072,4,dance,
Chuck Berry,Berry Is On Top,Johnny B. Goode,161560,FALSE,0.534,0.803,0,-9.129,1,0.0743,0.741,6.07E-05,0.307,0.969,167.983,4,rock-n-roll,
Taylor Swift,Lover,Lover,221306,FALSE,0.359,0.543,0,-7.582,1,0.0919,0.492,1.58E-05,0.118,0.453,68.534,4,pop,
Tiësto;Charli XCX,Hot In It,Hot In It,129817,FALSE,0.748,0.841,0,-5.08,1,0.177,0.00445,1.33E-06,0.0413,0.717,123.045,4,house,
Paloma Faith,A Perfect Contradiction (Outsiders' Expanded Edition),Only Love Can Hurt Like This,232893,FALSE,0.566,0.885,0,-4.528,1,0.0818,0.0958,9.97E-05,0.334,0.304,90.99,4,soul,
Armani White,BILLIE EILISH.,BILLIE EILISH.,99282,TRUE,0.9,0.509,0,-6.647,1,0.257,0.115,1.67E-06,0.0937,0.765,100.007,4,hip-hop,
My Chemical Romance,The Black Parade,Welcome to the Black Parade,311106,FALSE,0.217,0.905,0,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,4,punk,
Alice In Chains,Facelift,Man in the Box,285200,TRUE,0.355,0.791,0,-7.565,1,0.0453,0.00045,0,0.0969,0.758,106.392,4,grunge,
Felix Jaehn;Zoe Wees,Do It Better (feat. Zoe Wees),Do It Better (feat. Zoe Wees),170045,FALSE,0.677,0.804,0,-5.337,0,0.0677,0.0818,1.92E-05,0.158,0.41,122.111,4,german,
Dynoro;Gigi D'Agostino,In My Mind,In My Mind,184560,FALSE,0.694,0.77,0,-5.335,1,0.149,0.176,1.10E-05,0.118,0.163,125.905,4,house,
dhruv,rapunzel,double take,171743,FALSE,0.656,0.436,0,-11.141,1,0.0744,0.845,0,0.221,0.196,109.239,4,chill,
ASTN,Happier Than Ever,Happier Than Ever,109325,TRUE,0.667,0.457,0,-6.885,0,0.439,0.341,0,0.114,0.266,97.604,4,chill,
KAROL G,PROVENZA,PROVENZA,210200,FALSE,0.87,0.516,0,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,4,reggae,
Ben E. King,Don't Play That Song (Mono),Stand by Me,180055,FALSE,0.65,0.306,0,-9.443,1,0.0393,0.57,7.07E-06,0.0707,0.605,118.068,4,rock-n-roll,
Tove Lo,Queen Of The Clouds,Habits (Stay High),209160,FALSE,0.733,0.65,0,-3.539,1,0.0315,0.0703,6.59E-05,0.0829,0.348,110.003,4,swedish,
Linkin Park,Hybrid Theory (Bonus Edition),Papercut,184866,FALSE,0.524,0.939,0,-3.994,1,0.113,0.00022,0,0.623,0.661,150.184,4,alternative,
The Chainsmokers;Daya,Don't Let Me Down,Don't Let Me Down,208373,FALSE,0.532,0.869,0,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,4,electro,
Becky G,Shower,Shower,206166,FALSE,0.699,0.529,0,-7.548,1,0.0487,0.0317,3.59E-05,0.285,0.121,119.987,4,latin,
Paloma Faith,A Perfect Contradiction (Outsiders' Expanded Edition),Only Love Can Hurt Like This,232893,FALSE,0.566,0.885,0,-4.528,1,0.0818,0.0958,9.97E-05,0.334,0.304,90.99,4,british,
Stray Kids,NOEASY,Thunderous,183266,FALSE,0.601,0.786,0,-3.706,1,0.234,0.213,0,0.209,0.79,172.156,4,k-pop,
Manuel Turizo,La Bachata,La Bachata,162637,FALSE,0.835,0.679,0,-5.329,0,0.0364,0.583,1.98E-06,0.218,0.85,124.98,4,reggaeton,
XXXTENTACION,?,SAD!,166605,TRUE,0.74,0.613,0,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4,hip-hop,
Linkin Park,Meteora,Numb,185586,FALSE,0.496,0.863,0,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,4,alternative,
Wisin & Yandel;Chris Brown;T-Pain,Líderes,Algo Me Gusta De Ti,274946,FALSE,0.627,0.768,0,-5.296,0,0.0325,0.00291,0,0.0598,0.237,127.953,4,latino,
George Ezra,Staying at Tamara's,Shotgun,201287,FALSE,0.673,0.735,0,-4.733,1,0.0457,0.286,0,0.242,0.754,115.744,4,singer-songwriter,
Imagine Dragons,Evolve,Thunder,187146,FALSE,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,4,rock,
Billie Eilish,dont smile at me,idontwannabeyouanymore,203569,FALSE,0.483,0.412,0,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,3,electro,
Lauv;BTS,~how i'm feeling~,Who (feat. BTS),180413,FALSE,0.632,0.339,0,-7.983,0,0.0337,0.546,0,0.104,0.0969,141.642,3,electro,
Lil Tjay,True 2 Myself,F.N,224000,TRUE,0.567,0.515,0,-10.265,0,0.247,0.354,0,0.078,0.321,120.1,1,r-n-b,
Yot Club,Bipolar,YKWIM?,212750,FALSE,0.372,0.537,0,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,3,indie,
Jax,Victoria’s Secret,Victoria’s Secret,176124,TRUE,0.586,0.556,0,-7.639,1,0.0592,0.00655,0,0.0836,0.517,167.018,4,songwriter,
Jax Jones;MNEK,Where Did You Go (feat. MNEK),Where Did You Go? (feat. MNEK),177689,FALSE,0.763,0.782,0,-4.541,0,0.0346,0.182,7.08E-06,0.293,0.502,127.034,4,electro,
Lord Huron,Strange Trails,The Night We Met,208211,FALSE,0.544,0.369,0,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01,3,indie,
Queen,Jazz (2011 Remaster),Don't Stop Me Now - Remastered 2011,209413,FALSE,0.559,0.868,0,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,4,rock,
Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),Heaven,243360,FALSE,0.382,0.589,0,-7.315,0,0.0267,0.0465,0,0.122,0.335,140.059,4,singer-songwriter,
BLACKPINK,BORN PINK,Typa Girl,179172,TRUE,0.918,0.585,0,-7.781,1,0.0889,0.0627,0,0.624,0.519,131.966,4,k-pop,
beabadoobee,Beatopia,the perfect pair,177533,FALSE,0.634,0.663,0,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,4,indie-pop,
M.I.A.,Matangi,Bad Girls,227520,FALSE,0.639,0.912,0,-2.621,1,0.0615,0.00107,0,0.097,0.343,143.448,4,indie-pop,
Paramore,Paramore,Ain't It Fun,296520,FALSE,0.61,0.893,0,-3.681,1,0.0921,0.154,4.41E-05,0.021,0.673,104.031,4,emo,
Travis Scott;HVME,Goosebumps (Remix),Goosebumps - Remix,162802,TRUE,0.841,0.593,0,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917,4,house,
Anuel AA;Daddy Yankee;KAROL G;J Balvin;Ozuna,China,China,301714,FALSE,0.786,0.808,0,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,4,reggaeton,
Blur,Blur (Special Edition),Song 2 - 2012 Remaster,121160,FALSE,0.674,0.789,0,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4,alt-rock,
Rauw Alejandro,Todo De Ti,Todo De Ti,199604,TRUE,0.78,0.718,0,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949,4,latino,
Vansire,Angel Youth,From the Subway Train,57370,FALSE,0.392,0.429,0,-10.279,0,0.0462,0.527,0.015,0.217,0.105,72.104,4,indie,
Yasser Desai;Neha Kakkar;Rajat Nagpal,"Dil Ko Karaar Aaya (From ""Sukoon"")","Dil Ko Karaar Aaya (From ""Sukoon"")",231486,FALSE,0.55,0.448,0,-9.117,1,0.0366,0.777,0.000459,0.111,0.388,147.986,4,pop-film,
OneRepublic,Sunshine,Sunshine,163854,FALSE,0.697,0.875,0,-4.621,1,0.034,0.137,0,0.28,0.774,140.069,4,rock,
Em Beihold,Numb Little Bug,Numb Little Bug,169237,FALSE,0.742,0.527,0,-6.892,0,0.0769,0.327,0,0.25,0.638,84.974,4,songwriter,
Nicki Minaj,Super Freaky Girl,Super Freaky Girl,170977,TRUE,0.95,0.891,0,-2.653,1,0.241,0.0645,1.77E-05,0.309,0.912,133.01,4,dance,
Chani Nattan;Inderpal Moga,Daku,Daku,131077,FALSE,0.847,0.558,0,-5.855,0,0.0663,0.325,0,0.135,0.495,98.062,4,hip-hop,
Piso 21;Manuel Turizo,Los Cachos,Los Cachos,212304,FALSE,0.774,0.73,0,-3.865,1,0.134,0.108,0,0.194,0.421,91.966,4,reggae,
Frank Ocean,Blonde,White Ferrari,248807,FALSE,0.501,0.0958,0,-15.605,1,0.0433,0.77,0,0.298,0.204,108.741,4,soul,
Jack Harlow,First Class,First Class,173947,TRUE,0.905,0.563,0,-6.135,1,0.102,0.0254,9.71E-06,0.113,0.324,106.998,4,hip-hop,
Selena Gomez & The Scene,When The Sun Goes Down,Who Says,195613,FALSE,0.682,0.927,0,-2.915,1,0.0479,0.0843,0,0.149,0.744,101.019,4,dance,
Clairo,Immunity,Bags,260519,FALSE,0.742,0.546,0,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,4,indie,
Pamungkas,Flying Solo,To the Bone,344571,FALSE,0.668,0.727,0,-6.55,0,0.027,0.514,1.90E-05,0.1,0.939,139.991,4,singer-songwriter,
Clean Bandit;Zara Larsson,What Is Love? (Deluxe Edition),Symphony (feat. Zara Larsson),212733,FALSE,0.715,0.605,0,-5.128,0,0.0428,0.239,1.41E-05,0.189,0.454,122.956,4,house,
JIN,Jirisan (Original Television Soundtrack) Pt. 4,Yours,264840,FALSE,0.488,0.427,0,-7.383,1,0.0382,0.354,0,0.0797,0.157,72.035,4,k-pop,
Twisted Sister,Stay Hungry,We're Not Gonna Take It,219666,FALSE,0.502,0.924,0,-6.299,1,0.0503,0.0127,0,0.162,0.922,149.186,4,metal,
Regard;Years & Years,Hallucination,Hallucination,174794,TRUE,0.687,0.788,0,-5.142,0,0.0352,0.0121,0,0.358,0.669,123.02,4,edm,
Paramore,This Is Why,This Is Why,207652,FALSE,0.723,0.737,0,-7.566,0,0.0386,0.00435,0.00261,0.116,0.689,123.039,4,punk,
Jimmy Eat World,Bleed American,The Middle,165853,FALSE,0.643,0.849,0,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4,punk,
Green Day,Nimrod,Good Riddance (Time of Your Life),153466,TRUE,0.475,0.432,0,-7.844,1,0.0302,0.183,0,0.161,0.648,94.605,4,punk,
ZAYN,Mind Of Mine (Deluxe Edition),PILLOWTALK,202746,TRUE,0.584,0.7,0,-4.275,1,0.0456,0.117,0,0.0939,0.438,124.944,4,dance,
The Animals,The Singles Plus,House of the Rising Sun,269906,FALSE,0.316,0.484,0,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,3,psych-rock,
Luis Enrique,Ciclos,Yo No Sé Mañana,259853,FALSE,0.653,0.827,0,-3.206,0,0.042,0.649,0,0.18,0.733,95.223,4,salsa,
AP Dhillon;Gminxr;Gurinder Gill;Shinda Kahlon,Brown Munde,Brown Munde,254400,FALSE,0.854,0.611,0,-6.26,0,0.0864,0.223,0,0.119,0.417,100.024,4,pop,
Manuel Turizo,La Bachata,La Bachata,162637,FALSE,0.835,0.679,0,-5.329,0,0.0364,0.583,1.98E-06,0.218,0.85,124.98,4,latino,
Ice Cube,The Predator,It Was A Good Day,260000,TRUE,0.798,0.744,0,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4,funk,
Red Velvet,‘The ReVe Festival 2022 - Feel My Rhythm’,Feel My Rhythm,210253,FALSE,0.412,0.94,0,-2.171,1,0.215,0.0648,0,0.358,0.423,157.964,4,k-pop,
All Time Low,"So Wrong, It's Right","Dear Maria, Count Me In",182826,FALSE,0.459,0.895,0,-3.126,1,0.0805,0.00725,0,0.206,0.572,181.04,4,punk-rock,
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",I Bet You Look Good On The Dancefloor,173680,FALSE,0.535,0.948,0,-4.19,0,0.0356,0.00225,0,0.376,0.778,103.183,4,garage,
Manuel Turizo,La Bachata,La Bachata,162637,FALSE,0.835,0.679,0,-5.329,0,0.0364,0.583,1.98E-06,0.218,0.85,124.98,4,reggae,
Ben E. King,Don't Play That Song (Mono),Stand by Me,180055,FALSE,0.65,0.306,0,-9.443,1,0.0393,0.57,7.07E-06,0.0707,0.605,118.068,4,rock,
Guns N' Roses,Appetite For Destruction,Paradise City,405640,TRUE,0.273,0.952,0,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,4,rock,
Guns N' Roses,Appetite For Destruction,Welcome To The Jungle,273480,TRUE,0.453,0.987,0,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,4,hard-rock,
Jason Derulo,Take You Dancing,Take You Dancing,190306,FALSE,0.789,0.711,0,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985,4,dance,
Felix Jaehn;The Stickmen Project;Calum Scott,Rain In Ibiza,Rain In Ibiza,141931,FALSE,0.654,0.898,0,-5.964,1,0.0413,0.0844,0.0347,0.316,0.722,123.996,4,german,
Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,301920,FALSE,0.502,0.912,0,-4.556,1,0.0564,2.55E-05,0.000173,0.106,0.72,116.761,4,alternative,
Billy Joel,Piano Man (Legacy Edition),Piano Man,339000,FALSE,0.331,0.55,0,-6.483,1,0.0272,0.605,3.96E-06,0.192,0.429,177.734,3,folk,
The Offspring,Americana,The Kids Aren't Alright,180160,FALSE,0.523,0.943,0,-4.203,1,0.0337,0.00704,3.81E-05,0.0579,0.766,99.607,4,alt-rock,
Lauv;Troye Sivan,~how i'm feeling~,i'm so tired...,162586,FALSE,0.576,0.736,0,-7.572,1,0.224,0.178,0,0.238,0.484,101.928,4,dance,
OneRepublic,West Coast,West Coast,192947,FALSE,0.685,0.699,0,-7.803,0,0.0349,0.317,0,0.0895,0.884,134.057,4,piano,
Chord Overstreet,Hold On,Hold On,198853,FALSE,0.618,0.443,0,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949,4,acoustic,
Marshmello;Bastille,Happier,Happier,214289,FALSE,0.687,0.792,0,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,4,progressive-house,
Maluma,Sobrio,Sobrio,201180,FALSE,0.762,0.77,0,-2.758,1,0.223,0.138,0,0.15,0.631,177.998,4,latino,
Third Eye Blind,Third Eye Blind,Semi-Charmed Life,268360,FALSE,0.64,0.864,0,-6.576,1,0.0314,0.00832,0,0.123,0.701,102.026,4,grunge,
Slipknot,Vol. 3: The Subliminal Verses,Before I Forget,278600,FALSE,0.291,0.974,0,-2.997,0,0.171,0.0177,5.44E-06,0.886,0.348,134.724,4,alternative,
GANGGA,Blue Jeans,Blue Jeans,211483,FALSE,0.639,0.297,0,-11.18,1,0.0334,0.938,0.0839,0.18,0.292,113.989,3,singer-songwriter,
Mitski,Be the Cowboy,Nobody,193429,FALSE,0.398,0.717,0,-5.253,1,0.0398,0.07,0,0.085,0.487,117.296,4,indie-pop,
Daft Punk;Pharrell Williams;Nile Rodgers,Random Access Memories,Get Lucky (feat. Pharrell Williams & Nile Rodgers),369626,FALSE,0.81,0.793,0,-9.404,0,0.0403,0.0378,1.77E-06,0.072,0.863,116.05,4,electro,
Sigala;Talia Mar,Stay the Night,Stay the Night,171954,FALSE,0.636,0.936,0,-2.65,0,0.0729,0.177,0,0.0879,0.415,124.034,4,edm,
The Strokes,Room On Fire,Reptilia,219826,FALSE,0.489,0.649,0,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4,alt-rock,
Shania Twain,Come On Over,You're Still The One,212200,FALSE,0.585,0.494,0,-8.751,1,0.0353,0.363,0,0.0886,0.634,133.822,4,country,
Eminem;Dido,The Marshall Mathers LP,Stan,404106,TRUE,0.78,0.768,0,-4.325,0,0.238,0.0371,2.34E-06,0.518,0.507,80.063,4,hip-hop,
Måneskin,Teatro d'ira - Vol. I,I WANNA BE YOUR SLAVE,173346,TRUE,0.75,0.608,0,-4.008,1,0.0387,0.00165,0,0.178,0.958,132.507,4,indie-pop,
Mitski,Be the Cowboy,Nobody,193429,FALSE,0.398,0.717,0,-5.253,1,0.0398,0.07,0,0.085,0.487,117.296,4,indie,
Mild High Club,Skiptracing,Homage,177493,FALSE,0.546,0.465,0,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369,4,indie,
John Mayer,Continuum,Slow Dancing in a Burning Room,242000,FALSE,0.667,0.361,0,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,5,singer-songwriter,
Natti Natasha;Ozuna,Criminal,Criminal,232549,FALSE,0.814,0.813,0,-3.023,0,0.0561,0.03,9.33E-05,0.255,0.839,79.997,4,reggaeton,
The Neighbourhood,I Love You.,Sweater Weather,240400,FALSE,0.612,0.807,0,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,alternative,
Ariana Grande,Positions,positions,172324,TRUE,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,4,pop,
The Neighbourhood,Wiped Out!,The Beach,255133,FALSE,0.245,0.64,0,-7.426,0,0.0608,0.131,8.11E-06,0.0766,0.105,135.739,4,rock,
Swedish House Mafia;The Weeknd,Paradise Again,Moth To A Flame (with The Weeknd),234000,FALSE,0.553,0.659,0,-7.295,1,0.0391,0.0027,0,0.105,0.105,120.146,4,progressive-house,
